,region_code_Downtown,region_code_East,region_code_Industrial,region_code_North,region_code_South,region_code_Suburban,region_code_West,link_type_Access,link_type_Aggregation,link_type_Backbone,vendor_VendorA,vendor_VendorB,vendor_VendorC,traffic_period_afternoon,traffic_period_evening,traffic_period_morning,traffic_period_overnight,latency_ms,latency_jitter_ms,packet_loss_pct,error_rate,reset_count,throughput_util_pct,maintenance_flag
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3242252976283,2.10686071537662,0.118246923759559,7.68187098072446e-05,0,45.9605698361348,0
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.63243867979262,2.03025665200339,0.0,0.0,0,37.1903565166098,0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.6799505211087,0.721177532816585,0.0770386203799618,0.0,0,67.9035472587924,0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.8487294357369,0.244005847383157,0.0453271676219836,0.0002277029835544,0,58.7709679911433,0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.2499589340763,0.721537246679801,0.0956301973277366,0.0,0,58.4674073056978,0
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.89905611700945,0.760980799935521,0.0,9.88944275359748e-05,0,36.4996750024807,0
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.2526223563443,2.25175825349132,0.0311316271487087,0.0,1,74.8705389452383,0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.2267436036019,2.25111553153635,0.0708068214349491,5.677289802653e-05,0,57.3623348304295,0
8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.4253312565055,0.975119297901603,0.0507738902994604,0.0,0,64.2844050020042,0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.3409802475169,2.37332439373241,0.126136064686871,0.0003089605154668,0,56.61314659153631,0
